Target	TCGA_E2_A10E_01A_21R_A10J_07	TCGA_D8_A1JB_01A_11R_A13Q_07	TCGA_AR_A5QN_01A_12R_A28M_07	TCGA_LL_A50Y_01A_11R_A266_07	TCGA_B6_A0I5_01A_11R_A034_07	TCGA_D8_A141_01A_11R_A115_07	TCGA_E2_A14Q_01A_11R_A12D_07	TCGA_B6_A0I8_01A_11R_A034_07	TCGA_AC_A3HN_01A_11R_A213_07	TCGA_A2_A04V_01A_21R_A034_07	TCGA_A2_A1FW_01A_11R_A13Q_07	TCGA_C8_A12U_01A_11R_A115_07	TCGA_EW_A1PC_01B_11R_A21T_07	TCGA_5T_A9QA_01A_11R_A41B_07	TCGA_AN_A0AJ_01A_11R_A00Z_07	TCGA_A2_A04R_01A_41R_A109_07	TCGA_AR_A0TV_01A_21R_A084_07	TCGA_A8_A09R_01A_11R_A00Z_07	TCGA_E2_A1L7_01A_11R_A144_07	TCGA_BH_A42T_01A_11R_A24H_07
CDK14	10.66977089	10.43567026	9.74819285	9.095397023	11.03823313	11.4943556	10.509775	10.99435344	10.50581155	11.33203655	11.45532722	8.741466986	9.388017285	9.652844973	10.4429435	10.51471405	8.022367813	10.54109662	11.59618976	9.677719642
SEC61A1	14.16828037	13.76994113	14.14059015	14.22045391	13.94141447	14.43371583	14.09762067	13.81938079	14.37041497	13.85642553	13.36221782	14.32656993	15.09052598	14.88388424	14.25650357	14.55284918	14.87291531	14.38734423	14.94690627	14.4228532
PPP1R12A	11.81977993	12.60432156	11.71639079	10.32755264	10.62021983	11.95201316	11.8474489	11.52991853	11.71810471	11.99929539	12.75572215	11.16364968	11.1221809	10.88798213	12.03651707	12.3459596	11.69043456	12.00702727	11.89102419	10.94982671
RASGRF1	5.392317423	7.451211112	4.906890596	4	6.918863237	7.845490051	6.06608919	5.247927513	5.977279923	4.321928095	12.05596023	10.59339112	5.169925001	4	7.826548487	5.285402219	5.700439718	9.301496195	8.710806434	4.321928095
CAMK2B	7.366322214	6.375039431	5.044394119	7.95419631	9.142107057	7.707359132	7.64385619	4.459431619	7.159871337	7.741466986	10.45429929	8.092757141	9.366322214	7.209453366	7.599912842	7.129283017	5.832890014	8.483815777	12.03376711	8.515699838
CROCC	9.019590728	8.930737338	10.03204573	11.04234338	10.215533	10.30720081	10.47065887	9.13442632	10.80976813	11.07948478	8.794415866	9.670656249	10.58777752	10.38694025	9.105908509	9.556506055	10.64565843	9.714245518	11.10459875	11.38640142
POLR3E	10.92407019	10.69957245	11.31514956	11.86805085	11.14274528	11.38532318	11.09803208	11.61378946	11.15734694	11.48984796	10.98868469	11.15924065	10.64745843	12.22128502	11.32811389	11.2467406	11.62205182	11.04644195	9.926295995	11.61378946
ATP2B4	12.60779264	13.0370321	12.59058705	11.16239133	13.08031789	13.35961231	13.04200131	12.65798828	13.04695345	12.51249357	13.91017425	11.79603961	11.98690862	9.529430554	11.38424412	13.13249973	11.72494012	14.23534114	13.06272077	12.45249866
ZC3H11A	4.64385619	3.459431619	3.459431619	0	3	2	3	3.906890596	2.584962501	3.169925001	3.906890596	2	3.807354922	4.169925001	2.584962501	3.700439718	2.807354922	4	2.807354922	3
RIOK2	10.34762137	9.612868497	10.4807902	10.6329952	10.52454172	10.14082977	10.44914865	10.31854281	10.6183855	10.53915881	10.1711768	10.91960824	10.46964182	10.74819285	11.06137119	10.29001885	9.537218401	10.51668495	9.929258409	10.15734694
YIPF1	11.20457114	11.34151882	10.6329952	12.31769525	11.31854281	11.37177664	12.30691611	11.04712391	11.70563239	11.82177398	11.19290922	11.39124359	11.22761594	11.88912366	11.20518233	10.84862294	11.8029202	10.86108691	11.06474276	11.01402047
NDC1	10.59339112	10.95927751	10.62388149	10.63481105	10.56033283	10.82813648	11.35149141	10.63208641	10.82257083	11.43306377	10.69870467	11.27554256	11.55218876	10.71938882	11.53576138	10.77643303	11.75739001	10.82575383	12.08048446	10.49984589
DGKG	5.169925001	6.169925001	5.321928095	4.584962501	4.169925001	6.266786541	4.700439718	5.044394119	5.857980995	4.857980995	5.044394119	4.64385619	4.807354922	4.321928095	5.807354922	3.906890596	5.882643049	6.375039431	6.727920455	4.523561956
FLYWCH1	10.43671154	10.25856603	11.27204652	11.57790084	10.666224	10.70217269	10.68299458	10.88340699	11.26561505	10.36632221	10.01122726	11.12023788	10.24436384	11.0768156	10.39981196	10.74062404	11.49785184	10.71853288	9.599912842	12.25620869
UNKL	9.044394119	9.839203788	9.994353437	9.453270634	7.820178962	9.231221181	8.982993575	10.68123841	9.642051693	9.949826711	10.52943055	9.618385502	9.269126679	8.647458426	8.754887502	9.83447105	10.34207467	9.560332834	9.159871337	10.23122118
TBXAS1	8.071462363	9.592457037	9.14974712	10.57553925	9.276124405	10.11504365	8.968666793	9.505811554	9.871905238	9.276124405	9.068778278	8.807354922	8.503825738	8.903881846	9.221587121	8.383704292	9.957102042	9.912889336	9.511752654	10.59525748
PARP12	11.03066714	11.21431912	12.34928123	11.03617361	11.35480034	11.5574637	11.84901407	10.69870467	10.85174904	10.72962074	12.52209107	11.61746747	12.04916787	11.41785251	10.85953479	11.2039597	12.3553511	11.43306377	11.31004468	10.15481811
ALDH18A1	13.73365092	11.91475884	12.14720492	12.43827206	12.72792045	13.16427844	12.55770301	12.31826034	12.81938079	12.83762793	12.38720958	11.65910396	13.2137118	13.47218312	12.20884399	12.11015702	12.90294032	11.97763769	11.69957245	12.86263736
TARBP1	12.31288296	12.15797845	11.994707	11.69870467	11.68693817	11.66578003	11.52991853	12.37041497	11.31628153	11.98085361	11.40992124	11.35149141	11.17055104	12.73110685	11.16050175	12.23930017	10.73555602	11.81418188	10.84470576	12.45891921
GATB	9.434628228	9.027905997	9.581200582	10.37829486	10.84549005	9.964340868	8.87958325	9.159871337	9.6794801	10.34983409	10.509775	10.84156435	9.499845887	10.51865316	11.01680829	9.938109326	10.56510208	9.20701432	8.810571635	10.47573343
MXD1	10.2467406	10.02097994	10.61654884	9.445014846	10.96506276	9.695228291	11.06743436	10.58871464	10.08081753	10.169925	9.463524373	9.533329732	9.964340868	9.214319121	9.977279923	11.78135971	10.00702727	10.58025857	10.00842862	9.946906274
CDK17	12.0657527	11.61608931	11.52209107	10.73131903	10.62388149	10.83447105	11.34040649	10.8273427	11.33371443	11.83407595	12.3376219	10.69609817	9.727920455	10.07146236	10.57553925	12.14911199	12.2285181	11.25974326	10.82972274	10.11894107
DNAJC25	9.197216693	8.915879379	8.832890014	9.157346935	9.154818109	9.194756854	9.517669388	9.874981348	8.876516947	9.487840034	8.991521846	9.057991723	8.761551232	10.203348	9.413627929	8.921840937	9.977279923	8.873444113	7.948367232	8.531381461
SLC2A3	10.36632221	10.51175265	10.57931594	8.977279923	9.403012024	11.32474311	9.933690655	8.714245518	11.23780747	9.832890014	9.471675214	10.64295422	9.084808388	9.25502857	10.62388149	10.46352437	10.12412131	9.766528909	10.20457114	10.81297947
PSD	5.906890596	5.977279923	7.95419631	6.820178962	7.8008999	5.906890596	7.357552005	7.74819285	7.622051819	6.672425342	4.321928095	8.344295908	7.098032083	6.357552005	7.826548487	6.672425342	6	8.588714636	9.552669098	6.988684687
CTDP1	9.355351096	10.01541505	10.96289601	11.2911707	10.11634396	10.49984589	9.991521846	10.56605404	10.89784546	10.2632692	9.695228291	11.08679969	10.75321675	11.05256805	10.75238065	10.45121111	10.02375435	10.93590168	10.65642486	11.58120058
YBX3	10.83368075	12.12928302	11.97477307	11.0986901	13.48242984	12.47370575	11.93479659	10.36413466	11.93957921	12.79319686	11.59572369	9.495855027	9	9.933690655	10.45738088	11.95346896	9.853309555	11.05188866	13.60709909	10.58590145
STYK1	7.882643049	7.948367232	9.567956075	5.807354922	6.409390936	6.554588852	6.599912842	3.807354922	6.794415866	6.820178962	9.469641817	9.588714636	2.321928095	5	6.06608919	8.6794801	4.906890596	8.751544059	8.744833837	7.6794801
WNK1	13.55554777	13.39178061	13.66489167	12.22128502	13.27131712	14.21158415	13.21613956	14.6240529	13.81938079	13.67540578	14.90651484	14.93516505	13.03204573	12.32867493	13.83565569	14.23534114	14.49354276	14.92379172	14.01915633	13.80342483
CCAR1	12.55434902	12.21097568	12.17242751	11.49285462	12.13859179	12.61608931	12.18549492	12.30035256	12.19813805	12.40753333	12.65396464	12.46633142	12.35204343	12.95963976	12.40700215	12.18797059	12.38019047	12.17959813	12.83011903	11.97584797
OGFR	10.66799854	10.63571812	12.01680829	12.29203399	11.47471995	10.85330956	11.1959873	11.3553511	11.67109873	11.24495839	10.90463462	11.7809498	12.37964912	12.31910758	12.00667672	11.2485206	12.13635034	11.82892983	11.76611476	12.215533
GNA15	9.113742166	7.357552005	9.933690655	10.74146699	9.419960178	8.86727874	8.894817763	7.960001932	9.071462363	8.991521846	5.754887502	7.409390936	7.118941073	9.071462363	8.247927513	9.22881869	8.826548487	8.442943496	7.312882955	9.438791853
CREB3L3	2.584962501	2	0	0	0	3.906890596	1	0	2	2	1	3.584962501	0	2.584962501	3.584962501	1.584962501	3.169925001	3.169925001	1	1
